version 1.0.0
2017-11-03 01:19:53
ai/monsterclose 2f052736cce6f87c6cdf130af305c4e8 2903
ai/monsterrange f7e19726ae823d928aca5cecc81f0509 3961
ai/simple d7d871619a2d24426018fa4a4256e79f 3962
animation/btn 29a8ca71ead2b2d2061876215fc13976 6110
animation/hitback 8b2e8b434b8b04e53bf23b121f7c663f 2925
animation/hitfly 65f86918b58e2ea76359fb77242cdad3 2913
animation/kingcontroller 61259a347da5899f4e5a008760737647 392928
arts/battle acce279a8e02ef98db13e39eecff9fcc 11040
arts/menu 331f9648cb607e873a274ea759b26d69 36349
arts/public e243dd8ed6de5d1bfe6126d5c0bf5e4f 205679
cfg/buff b01568e9a3168d9b41628ac47ee8b6ca 993
cfg/equip 864ef4e072160a8e725c6fca7aca5d0b 847
cfg/item f3646778d5fc70823accad25c32de92c 949
cfg/monster 11b37d977db1e18a1ed2b2c9aeea0d39 802
cfg/skill 6982519e5b6bdc378f234e9b0d87bdb5 1095
cfg/skilleffect dded3e30bf074c9c23b363655d41a0e3 1136
cfg/skillsummon df7c76819d9d868c974585392e05cb70 1017
font/critnum 047b55c686ca1cf4512ea07c11346799 12546
font/hpaddnum efa7d1e19644f224a581a1e80401b5d6 8963
icon/0 e3fe8604c681db02db6b09632ebb787f 2035
icon/1001 4225dd9bde001e67cdc04392ee1f5ac3 3340
icon/1002 2ff832c2c6c3328276cd2d9c498d1760 3076
icon/111011 f4d102792990ad9f132f80c75a5f43c1 4281
icon/111013 d506f2548754969f56355b13e6150491 4538
icon/112011 4477d1354bd99faf2c411e0d42a03158 5254
icon/112021 cfa0128a18df8504c42cc82488d696dd 5873
icon/114011 3c2bef08521fb31554896312acd6e063 5955
icon/114014 9b9b366f433df900a4d58688a99919a5 5757
icon/114015 876d364ab2242e0ce74f6e2db13b7f60 5744
icon/115011 6b22d830496cf305973c54338ec8dc73 5115
icon/115015 259ed8a850acff92fa149910435dc324 5205
icon/116011 5c776562bd6535e1e5d43815e1ce97b7 4806
icon/116013 7201739085967692e1c7a88e3931864a 4956
icon/116015 01b151e08fbe1b409715c4c63cd556a6 5598
icon/116028 987d8b9694d54579474bf0cc978008df 4947
icon/42021 b3c24c724d9611fdd65ba4cf2c1dfa65 7195
icon/42022 3728fbc4216d3f03311ce6192e541682 6919
icon/42023 c27d6753376d3fef4c316302c0457c3e 7013
icon/42024 1a265e7238a8a1557a3493f0f3e0a530 6901
icon/42025 8c282ca97f998ac876c7e130dc6797a6 7022
icon/42026 7772f42c0b63227051e05c985e55984e 7131
icon/44012 0a254085f768b37f32c200f4d4aecbd9 6568
icon/44026 6053370a39310aceb7f3b33553ca3290 6458
icon/44033 0015d7b6b2681e58c214c2459e0bfedd 6301
icon/44042 dad5ab00080ff9f72c442de8272b0c44 6661
icon/44054 721789fced8b461eb8fd899be2e8f9c2 6366
icon/44061 8e9aa939d59ee3c47017563db494fd40 6395
icon/skill/100 8628c5f4ab50933678a913bd0c36c244 3814
icon/skill/101 115931a0e27719aa075fe4c0db9f6c33 3804
icon/skill/102 73033f3c8d0a432003c0c94dfbf1e185 3724
icon/skill/103 b3967b16289f3422d15ad36047a3904d 3829
icon/skill/110 e84fe668d89d9a125a6e25dc5a95a0b0 3778
icon/skill/111 7f68c90dee24c175e756a716a3041758 4025
icon/skill/120 f1a214f04519cc58620bf5fecd988985 3604
icon/skill/121 ae521cd82fcf24d93aea4153ff827c9a 3973
localization/zh-cn cf0886ef3b721c87aa14d519a582ae53 1192
materials/colortexmaterial 6355142f3c041156d4d31f778d13413c 3673
materials/rttshadowmaterial fbb902b34224140b4f6e4fe69820b33e 5120
materials/shadowmaterial f17ccbe5909741248ffaf1d9c8ea2f8a 20210
materials/uinoalpha 826bf1f85181aaa54b591e1f28ae5df1 3142
